username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
aida_pineda,,Día 5: Actualizar mi perfil en Tinder #coronavirus,0,1,0,1241135110847594498,https://twitter.com/aida_pineda/status/1241135110847594498,113347160,2020-03-20 22:50:44+00:00,Fri Mar 20 22:50:44 +0000 2020,#coronavirus,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
PrincipalTinisa,MrsHankinsClass,Yes! God please protect us all from the Coronavirus. In Jesus name AMEN!!!,0,1,0,1241135065175818240,https://twitter.com/PrincipalTinisa/status/1241135065175818240,129959821,2020-03-20 22:50:33+00:00,Fri Mar 20 22:50:33 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
brookcliff1985,,@AppleNews how about freeing up covid 19 coverage. Many stories are blocked unless ur Apple news +. Everyone’s making sacrifices...,0,0,0,1241133807224393737,https://twitter.com/brookcliff1985/status/1241133807224393737,68172850,2020-03-20 22:45:33+00:00,Fri Mar 20 22:45:33 +0000 2020,,@AppleNews,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
LaShondraS,,This is not a drill. #COVID19 is real. But God’s not surprised by this pandemic and God is with us. God is with you. It’s time to reset and reorganize our agendas. There is still grace for you in this season. Thanks… https://www.instagram.com/p/B9-Pepbn731/?igshid=7lre55txioup,0,0,0,1241133773141532672,https://twitter.com/LaShondraS/status/1241133773141532672,49718378,2020-03-20 22:45:25+00:00,Fri Mar 20 22:45:25 +0000 2020,#COVID19,,,https://www.instagram.com/p/B9-Pepbn731/?igshid=7lre55txioup,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
etme,,With all podcasts becoming Coronavirus podcasts. Maybe now is the time to start those books I bought earlier in the year. 3 months in and I’ve read 0 of my goal of 20 for the year,0,0,0,1241133209691316225,https://twitter.com/etme/status/1241133209691316225,28695451,2020-03-20 22:43:10+00:00,Fri Mar 20 22:43:10 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
DrLindaShelton,TomCasey92,Don't be an asshole that hoards & hurts little old ladies #Coronavirus #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ,0,0,0,1241132949707333634,https://twitter.com/DrLindaShelton/status/1241132949707333634,44983352,2020-03-20 22:42:09+00:00,Fri Mar 20 22:42:09 +0000 2020,#Coronavirus #Farmers #Education #TeaParty #AARP #Veterans #MeToo #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ,,,https://twitter.com/TomCasey92/status/1241008787131154432,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
andrscoronel,,Este tipo @Lenin lo único que sabe es quejarse al mismo tiempo que se le vuelve imposible esconder su ineptitud frente a la crisis. ¡Tenga un poco de vergüenza y renuncie! #ElPeorGobiernoDeLaHistoria #Coronavirus #MorenoNoGobierna @PrensaDelBanano @EcuadorRC @MashiRafael,0,0,0,1241132712779538433,https://twitter.com/andrscoronel/status/1241132712779538433,100887060,2020-03-20 22:41:12+00:00,Fri Mar 20 22:41:12 +0000 2020,#ElPeorGobiernoDeLaHistoria #Coronavirus #MorenoNoGobierna,@Lenin @PrensaDelBanano @EcuadorRC @MashiRafael,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
LaShondraS,,This is not a drill. #COVID19 is real. But God’s not surprised by this pandemic and God is with us. God is with you. It’s time to reset and reorganize our agendas. There is still grace for you in this season. Thanks… https://www.instagram.com/p/B9-Pepbn731/?igshid=1f1oqjcv05bq4,0,0,0,1241132285023227905,https://twitter.com/LaShondraS/status/1241132285023227905,49718378,2020-03-20 22:39:30+00:00,Fri Mar 20 22:39:30 +0000 2020,#COVID19,,,https://www.instagram.com/p/B9-Pepbn731/?igshid=1f1oqjcv05bq4,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
rotofugi,,"Our Chicago location will be closed to comply with the Governor of Illinois' Shelter at Home Order through April 7, 2020.⁣⁣ ⁣⁣ I know you’re being bombarded with people requesting your help right now, so I’ll keep… https://www.instagram.com/p/B9-PInknKgJ/?igshid=1f36dl5y35fkc",0,2,0,1241131529159479304,https://twitter.com/rotofugi/status/1241131529159479304,16334476,2020-03-20 22:36:30+00:00,Fri Mar 20 22:36:30 +0000 2020,,,,https://www.instagram.com/p/B9-PInknKgJ/?igshid=1f36dl5y35fkc,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
RichNegrin,,What really is “social distancing” and how can it slow the spread of COVID-19? Why is #flatteningthecurve important? #coronavirus Check this out: http://bit.ly/3cPXkj4 via @HubJHU,0,0,0,1241131427120504839,https://twitter.com/RichNegrin/status/1241131427120504839,87732141,2020-03-20 22:36:05+00:00,Fri Mar 20 22:36:05 +0000 2020,#flatteningthecurve #coronavirus,@HubJHU,,http://bit.ly/3cPXkj4,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
