username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city
spoonzoo,,"I saw my 1st national restaurant chain post #COVID19 #ShelterInPlace with the message ""We're still here for you, with curb-side or delivery..."" It felt weird. Comforting. Sad. Relatable. Then hungry. If I weren't on a tight budget, I would be ordering. Marketing genius.",0,1,0,1242130074570240007,https://twitter.com/spoonzoo/status/1242130074570240007,16911094,2020-03-23 16:44:22+00:00,Mon Mar 23 16:44:22 +0000 2020,#COVID19 #ShelterInPlace,,,,springfield
spoonzoo,,Does @senatemajldr realize what a fucking asshole he sounds like right now? #PeopleFirst #MoscowMitchSlushFund We will NOT pay for @realDonaldTrump to bail out his own businesses. Get it done. #GOPSlushFund #NoCorporateBailouts #noCoronaBailouts #NoCorporateBailout #COVID19,2,5,1,1242121523239976960,https://twitter.com/spoonzoo/status/1242121523239976960,16911094,2020-03-23 16:10:23+00:00,Mon Mar 23 16:10:23 +0000 2020,#PeopleFirst #MoscowMitchSlushFund #GOPSlushFund #NoCorporateBailouts #noCoronaBailouts #NoCorporateBailout #COVID19,@senatemajldr @realDonaldTrump,,,springfield
spoonzoo,,"Red flags! I went to have my #Ventolin Inhaler refilled at @Walgreens this morning... OUT OF STOCK! Now, MY asthma is mild. This is a back-up med for me. What about people who need this NOW?!?! TERRIFYING. #COVID19 #coronavirus #MondayMorning #COVID19IL @GovPritzker",0,3,2,1242083437646950400,https://twitter.com/spoonzoo/status/1242083437646950400,16911094,2020-03-23 13:39:02+00:00,Mon Mar 23 13:39:02 +0000 2020,#Ventolin #COVID19 #coronavirus #MondayMorning #COVID19IL,@Walgreens @GovPritzker,,,springfield
GrandeReed,,"Spring? #covid #lockdown @Springfield, Illinois https://www.instagram.com/p/B-C-BvjlOhj/?igshid=hc0ht0pn1swg",0,0,0,1241797593816084480,https://twitter.com/GrandeReed/status/1241797593816084480,22547481,2020-03-22 18:43:12+00:00,Sun Mar 22 18:43:12 +0000 2020,#covid #lockdown,,,https://www.instagram.com/p/B-C-BvjlOhj/?igshid=hc0ht0pn1swg,springfield
TalysMommie,,"Getting creative in the kitchen for breakfast and lunch. #illinoisshutdown #covid_19 @Vinegar Hill, Springfield https://www.instagram.com/p/B-C8m9zgDfiExlnHIGGsw22ACyHtbdWjlnySlM0/?igshid=dmvssxbbyzmf",0,0,0,1241794478811144192,https://twitter.com/TalysMommie/status/1241794478811144192,73989555,2020-03-22 18:30:49+00:00,Sun Mar 22 18:30:49 +0000 2020,#illinoisshutdown #covid_19,,,https://www.instagram.com/p/B-C8m9zgDfiExlnHIGGsw22ACyHtbdWjlnySlM0/?igshid=dmvssxbbyzmf,springfield
DevinTrubeyTV,IDPH,LOVE THIS! Television shows donating parts of their costumes and props to help combat #COVID19. ,0,0,0,1241535725545365505,https://twitter.com/DevinTrubeyTV/status/1241535725545365505,3991793241,2020-03-22 01:22:38+00:00,Sun Mar 22 01:22:38 +0000 2020,#COVID19,,,https://twitter.com/IDPH/status/1241502446259777539,springfield
spoonzoo,heatherkestila,This parade of teachers driving through their kids' neighborhoods... it's what you need to watch today. #SaturdayMotivation #QuaratineLife #SocialDistancing #covid19 #teachersareheroes #elearning @Robertson_Elem @heatherkestila #Deacon,0,2,1,1241510904291823619,https://twitter.com/spoonzoo/status/1241510904291823619,16911094,2020-03-21 23:44:00+00:00,Sat Mar 21 23:44:00 +0000 2020,#SaturdayMotivation #QuaratineLife #SocialDistancing #covid19 #teachersareheroes #elearning #Deacon,@Robertson_Elem @heatherkestila,,https://twitter.com/heatherkestila/status/1241077860829462530,springfield
GrandeReed,,"#home #covid #quarantine #dog #kid #family #flattenthecurve @Springfield, Illinois https://www.instagram.com/p/B-AgnOJlKKR/?igshid=at2jhyoyidx",0,0,0,1241451438187991043,https://twitter.com/GrandeReed/status/1241451438187991043,22547481,2020-03-21 19:47:42+00:00,Sat Mar 21 19:47:42 +0000 2020,#home #covid #quarantine #dog #kid #family #flattenthecurve,,,https://www.instagram.com/p/B-AgnOJlKKR/?igshid=at2jhyoyidx,springfield
BSchuermanWX,thehill,#DEVELOPING: Andy Cohen tests positive for the #Coronavirus #COVID19... ,1,0,0,1241402307893440512,https://twitter.com/BSchuermanWX/status/1241402307893440512,18501529,2020-03-21 16:32:28+00:00,Sat Mar 21 16:32:28 +0000 2020,#DEVELOPING #Coronavirus #COVID19,,,https://twitter.com/thehill/status/1241304807865892865,springfield
GrandeReed,,"Well this is disappointing #covid #shutitdown #grocery @Springfield, Illinois https://www.instagram.com/p/B-AH5obFPYW/?igshid=15cmtbqwnjuqu",0,0,0,1241397098022678531,https://twitter.com/GrandeReed/status/1241397098022678531,22547481,2020-03-21 16:11:46+00:00,Sat Mar 21 16:11:46 +0000 2020,#covid #shutitdown #grocery,,,https://www.instagram.com/p/B-AH5obFPYW/?igshid=15cmtbqwnjuqu,springfield
gdmckav,,Thanks @CBSSports @CBS for replaying classic @NCAA @marchmadness games while under #Covid_19 shelter-in-place in #Illinois,0,1,0,1241395741643415552,https://twitter.com/gdmckav/status/1241395741643415552,50190934,2020-03-21 16:06:23+00:00,Sat Mar 21 16:06:23 +0000 2020,#Covid_19 #Illinois,@CBSSports @CBS @NCAA @marchmadness,,,springfield
Hermano_Bart,jonyarroyo,Culpables. #AlBanquillo #Covid_19 #GobiernoAsesino #GobiernoCriminal #GobiernoNegligente,0,0,0,1241312763294728192,https://twitter.com/Hermano_Bart/status/1241312763294728192,338525189,2020-03-21 10:36:39+00:00,Sat Mar 21 10:36:39 +0000 2020,#AlBanquillo #Covid_19 #GobiernoAsesino #GobiernoCriminal #GobiernoNegligente,,,https://twitter.com/jonyarroyo/status/1241068716600840192,springfield
