username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city
KadiDoumbia3,,"Can you imagine children being cut during this time? And with the same blade??? COVID-19??? Well, I am sure it is happening. Go get the devil!!!",1,1,0,1244379595379482624,https://twitter.com/KadiDoumbia3/status/1244379595379482624,894645255206776833,2020-03-29 21:43:09+00:00,Sun Mar 29 21:43:09 +0000 2020,,,,,chicago
JBMatthews,,John Prine - one of the greatest songwriters of the last 100 years - is intubated and in critical condition with #Covid_19 @JohnPrineMusic Sending angels from Montgomery and everywhere else.,0,9,1,1244378774596132872,https://twitter.com/JBMatthews/status/1244378774596132872,24627188,2020-03-29 21:39:53+00:00,Sun Mar 29 21:39:53 +0000 2020,#Covid_19,@JohnPrineMusic,,https://youtu.be/9CDLCr0fxOQ,chicago
trevordante_,,Covid-19 is really exposing a lot of people’s social dependency. You don’t know how about the alone &amp; it’s sad!,0,2,0,1244378716400214021,https://twitter.com/trevordante_/status/1244378716400214021,200375011,2020-03-29 21:39:40+00:00,Sun Mar 29 21:39:40 +0000 2020,,,,,chicago
CaprioEleni,CaprioEleni,hahahaha thanks COVID-19 ,0,6,0,1244377328295333896,https://twitter.com/CaprioEleni/status/1244377328295333896,1024138974200246272,2020-03-29 21:34:09+00:00,Sun Mar 29 21:34:09 +0000 2020,,,,https://twitter.com/CaprioEleni/status/1181559645569191937,chicago
newsstandpromos,,Maybe we’re spending a little too much quality #covid_19 #shelterinplace time together? #chicagodogs #citydogliving #citydoglife #streetervilledogs #highrisedog #dogsofinstagram #dogstagram #brindlesofinstagram @… https://www.instagram.com/p/B-VS_krpCek/?igshid=z3gy6vkq2ot2,0,0,0,1244376978259673094,https://twitter.com/newsstandpromos/status/1244376978259673094,18190142,2020-03-29 21:32:45+00:00,Sun Mar 29 21:32:45 +0000 2020,#covid_19 #shelterinplace #chicagodogs #citydogliving #citydoglife #streetervilledogs #highrisedog #dogsofinstagram #dogstagram #brindlesofinstagram,,,https://www.instagram.com/p/B-VS_krpCek/?igshid=z3gy6vkq2ot2,chicago
Daft_Cyclist,,"I think I'm comfortable saying that anyone who voted for Trump is partially responsible for all #Covid_19 deaths in the U.S. Anyone who still supports him is completely responsible for all of those deaths, and a giant bag of festering cat vomit. Any counter arguments?",1,2,1,1244375046270959616,https://twitter.com/Daft_Cyclist/status/1244375046270959616,958918877974540289,2020-03-29 21:25:05+00:00,Sun Mar 29 21:25:05 +0000 2020,#Covid_19,,,,chicago
PierreAndino,,ISOLATION #Covid_19 ,0,0,0,1244375015044395012,https://twitter.com/PierreAndino/status/1244375015044395012,394698017,2020-03-29 21:24:57+00:00,Sun Mar 29 21:24:57 +0000 2020,#Covid_19,,,,chicago
KenzoShibata,,"We read @KeeangaYamahtta, Marx and more! Talked about the heightened contradictions of capitalism under the covid crisis, and the impacts in the working class (us).",1,6,0,1244372896505573384,https://twitter.com/KenzoShibata/status/1244372896505573384,348166536,2020-03-29 21:16:32+00:00,Sun Mar 29 21:16:32 +0000 2020,,@KeeangaYamahtta,,,chicago
jonialvarez303,JoelOsteen,"@JoelOsteen gave his weekly TV sermon to an empty church + acknowledged the virus (#Covid_19) exists. Paraphrasing Joel, #StayAtHome is simply God’s process of getting us out of this difficult time + freedom (#FlattenTheCurve achieved) is on the other side. #JustStayHome",0,0,0,1244372530888093703,https://twitter.com/jonialvarez303/status/1244372530888093703,493744992,2020-03-29 21:15:05+00:00,Sun Mar 29 21:15:05 +0000 2020,#Covid_19 #StayAtHome #StayAtHome #FlattenTheCurve #JustStayHome,@JoelOsteen,,https://twitter.com/JoelOsteen/status/1244246835125981185,chicago
Tony_Jacobo,,"Illinois Officials announces 1,105 new cases of COVID-19 and 18 additional deaths. The total number of cases in the state is 4,596. The Illinois Department of Public Health said 65 people statewide have died from the virus.",0,0,0,1244371336396288002,https://twitter.com/Tony_Jacobo/status/1244371336396288002,1368535836,2020-03-29 21:10:20+00:00,Sun Mar 29 21:10:20 +0000 2020,,,,,chicago
EricDonnellyMD,NorthwesternU,Great work @traependergrast and fellow @NUFeinbergMed students!!! #COVID19 ,2,13,1,1244371214094733314,https://twitter.com/EricDonnellyMD/status/1244371214094733314,986793765020028929,2020-03-29 21:09:51+00:00,Sun Mar 29 21:09:51 +0000 2020,#COVID19,@traependergrast @NUFeinbergMed,,https://twitter.com/NorthwesternU/status/1244025633287688192,chicago
dspuhr,,"Just put this together for our Instacart or food delivery people; the majority have not had gloves. So, I made some care packs for them when they drop off. @Grubhub_Care @Instacart #chicagostrong #COVID19 ",0,7,0,1244370444305813505,https://twitter.com/dspuhr/status/1244370444305813505,127689782,2020-03-29 21:06:47+00:00,Sun Mar 29 21:06:47 +0000 2020,#chicagostrong #COVID19,@Grubhub_Care @Instacart,,,chicago
zaytheprophet_,,what is “died from covid-19 related symptoms” ???? did folks die from the coronavirus or not,0,8,1,1244370110967689218,https://twitter.com/zaytheprophet_/status/1244370110967689218,760884291739848709,2020-03-29 21:05:28+00:00,Sun Mar 29 21:05:28 +0000 2020,,,,,chicago
kellykdavis,,"An easy way to help those in need, from the comfort of your couch! Support the Greater Chicago Food Depository and the Northern Illinois Food Bank - text FEEDIL to 91999. Message & Data rates may apply. #FeedIL #Covid19 #Chicago",1,4,0,1244369993980092418,https://twitter.com/kellykdavis/status/1244369993980092418,21154990,2020-03-29 21:05:00+00:00,Sun Mar 29 21:05:00 +0000 2020,#FeedIL #Covid19 #Chicago,,,,chicago
LulaEDUcate,santis4_star,"Which is why vaccinations are important and why #COVID19 will continue to take friends and family, as there is not one. Perhaps you want to add that to your response?",0,0,0,1244369593633775621,https://twitter.com/LulaEDUcate/status/1244369593633775621,758747329767714819,2020-03-29 21:03:25+00:00,Sun Mar 29 21:03:25 +0000 2020,#COVID19,,,,chicago
ChicagoNorml,,Chicago NORML's April Meeting is Covid-19 Compliant,0,3,0,1244368810200772608,https://twitter.com/ChicagoNorml/status/1244368810200772608,950070540315787266,2020-03-29 21:00:18+00:00,Sun Mar 29 21:00:18 +0000 2020,,,,,chicago
