username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
Iameverywoman17,,Bandcamp waives revenue shares Friday to support artists amid COVID-19 pandemic ,0,0,0,1241135672594964488,https://twitter.com/Iameverywoman17/status/1241135672594964488,1608248515,2020-03-20 22:52:58+00:00,Fri Mar 20 22:52:58 +0000 2020,,,,https://twitter.com/i/events/1240996580670357504,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
FrenchtoastyG,richardmarx,"Oh snap, some shit is going down between Marx and Baio. Circus of the Stars!! #Covid_19 #Chicagocoronavirus",0,0,0,1241135346307530762,https://twitter.com/FrenchtoastyG/status/1241135346307530762,1028364413538127873,2020-03-20 22:51:40+00:00,Fri Mar 20 22:51:40 +0000 2020,#Covid_19 #Chicagocoronavirus,,,https://twitter.com/richardmarx/status/1241127272758697984,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
GSlutkin,,Not everyone with #Covid_19 will get treatment as there are too many patients. #StayHome #stayhomechallenge #coronavirus,2,2,0,1241135198105894914,https://twitter.com/GSlutkin/status/1241135198105894914,17279970,2020-03-20 22:51:05+00:00,Fri Mar 20 22:51:05 +0000 2020,#Covid_19 #StayHome #StayHome #stayhomechallenge #stayhomechallenge #coronavirus,,,https://www.washingtonpost.com/health/2020/03/15/coronavirus-rationing-us/#click=https://t.co/lFOuRHO6Br,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
brookcliff1985,,@AppleNews how about freeing up covid 19 coverage. Many stories are blocked unless ur Apple news +. Everyone’s making sacrifices...,0,0,0,1241133807224393737,https://twitter.com/brookcliff1985/status/1241133807224393737,68172850,2020-03-20 22:45:33+00:00,Fri Mar 20 22:45:33 +0000 2020,,@AppleNews,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
LaShondraS,,This is not a drill. #COVID19 is real. But God’s not surprised by this pandemic and God is with us. God is with you. It’s time to reset and reorganize our agendas. There is still grace for you in this season. Thanks… https://www.instagram.com/p/B9-Pepbn731/?igshid=7lre55txioup,0,0,0,1241133773141532672,https://twitter.com/LaShondraS/status/1241133773141532672,49718378,2020-03-20 22:45:25+00:00,Fri Mar 20 22:45:25 +0000 2020,#COVID19,,,https://www.instagram.com/p/B9-Pepbn731/?igshid=7lre55txioup,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
LaShondraS,,This is not a drill. #COVID19 is real. But God’s not surprised by this pandemic and God is with us. God is with you. It’s time to reset and reorganize our agendas. There is still grace for you in this season. Thanks… https://www.instagram.com/p/B9-Pepbn731/?igshid=1f1oqjcv05bq4,0,0,0,1241132285023227905,https://twitter.com/LaShondraS/status/1241132285023227905,49718378,2020-03-20 22:39:30+00:00,Fri Mar 20 22:39:30 +0000 2020,#COVID19,,,https://www.instagram.com/p/B9-Pepbn731/?igshid=1f1oqjcv05bq4,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
RichNegrin,,What really is “social distancing” and how can it slow the spread of COVID-19? Why is #flatteningthecurve important? #coronavirus Check this out: http://bit.ly/3cPXkj4 via @HubJHU,0,0,0,1241131427120504839,https://twitter.com/RichNegrin/status/1241131427120504839,87732141,2020-03-20 22:36:05+00:00,Fri Mar 20 22:36:05 +0000 2020,#flatteningthecurve #coronavirus,@HubJHU,,http://bit.ly/3cPXkj4,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
karl_dizon16,,"This shit is fckin real. Covid, you are a fckin bitch!",0,0,0,1241131298871222272,https://twitter.com/karl_dizon16/status/1241131298871222272,52702420,2020-03-20 22:35:35+00:00,Fri Mar 20 22:35:35 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
Zimmerino,,God I love my company. @MolsonCoors pledges $1 million to support bartenders affected by COVID-19 pandemic ,5,51,0,1241130561172918272,https://twitter.com/Zimmerino/status/1241130561172918272,28232449,2020-03-20 22:32:39+00:00,Fri Mar 20 22:32:39 +0000 2020,,@MolsonCoors,,https://www.molsoncoorsblog.com/molson-coors-pledges-1-million-support-bartenders-affected-covid-19-pandemic-miller-lite-encourages,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
3Beckham,,"#covid_19 #leadership thank you govpritzker chicagosmayor @Bronzeville, Chicago https://www.instagram.com/p/B9-OSNkJFN8/?igshid=17e8x44rbq7pd",0,0,0,1241129658906746885,https://twitter.com/3Beckham/status/1241129658906746885,334431875,2020-03-20 22:29:04+00:00,Fri Mar 20 22:29:04 +0000 2020,#covid_19 #leadership,,,https://www.instagram.com/p/B9-OSNkJFN8/?igshid=17e8x44rbq7pd,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
tzakrison,,Sometimes the best way to care for your awesome SICU team is twice daily meditation and hot lunches. Please remember that many local restaurants are still open and struggling. And nice delivery folk appreciate great tips. #COVID19 @uchicagosurgery,1,25,0,1241128305346166784,https://twitter.com/tzakrison/status/1241128305346166784,1412766708,2020-03-20 22:23:41+00:00,Fri Mar 20 22:23:41 +0000 2020,#COVID19,@uchicagosurgery,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
jazzyc13,,Virtual happy hour with the team! #teamgroupon #covid_19 #virtualhappyhour @Montgomery Ward Park https://www.instagram.com/p/B9-NqOvjTo5/?igshid=b3bodw1dmasz,0,0,0,1241128284873797637,https://twitter.com/jazzyc13/status/1241128284873797637,45701175,2020-03-20 22:23:36+00:00,Fri Mar 20 22:23:36 +0000 2020,#teamgroupon #covid_19 #virtualhappyhour,,,https://www.instagram.com/p/B9-NqOvjTo5/?igshid=b3bodw1dmasz,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
jeni_crone,,"My #artpluschallenge response for Art + Community is dedicated to grocery store workers. My dad, stepmom and stepsister all hold those jobs and have been working long busy days. #essentialjobs #COVID19 #thankyou #community",1,4,0,1241128188119519233,https://twitter.com/jeni_crone/status/1241128188119519233,2284485344,2020-03-20 22:23:13+00:00,Fri Mar 20 22:23:13 +0000 2020,#artpluschallenge #essentialjobs #COVID19 #thankyou #thankyou #community,,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
